law,label,work_rule_ja,explanation_ja,price
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Exemplification,当社は1か月単位の変形労働時間制を導入し、業務の繁閑に応じて就業規則および労使協定に基づき、繁忙期には1日の所定労働時間を必要の限度で延長し、最大で1日10時間までとする。,法文は、変形労働時間制を導入した場合に所定手続に従って1日の所定労働時間を必要の限度で延長でき、上限は10時間であると定めています。本規則はその条文の具体的な例示であり、1か月単位の変形制を採用し、就業規則と労使協定に基づき繁忙期に最大10時間まで延長する旨を明記しているため、Exemplification（具体例）に該当します。,0.00129275
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Contrary,全従業員の所定労働時間は、1日6時間、1週30時間を超えてはならない。,法は通常の労働時間を1日8時間・1週40時間を上限としているが（変形労働時間制下での特例も含む）、本規則はそれよりもさらに短い上限（1日6時間・1週30時間）を定めており、程度において法と異なる（より厳しい）ため「Contrary」に該当する。法の禁止と直接矛盾するわけではなく、労働者の保護を強める内容であるため、完全な矛盾（Contradictory）ではない。,0.0009525
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Neutral – Irrelevant,従業員は勤務時間中、常に会社支給の制服および社員証を着用しなければならない。制服の汚損や破損が生じた場合は速やかに総務へ報告し、所定の手続きに従って交換を申請すること。,本就業規則は制服・社員証の着用と管理に関する規定であり、通常の労働時間（1日8時間、1週40時間等）に関する法条文とテーマが異なるため、論理的・法的な関連性はなく「Neutral – Irrelevant」に該当します。,0.0007975
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Subaltern,当社に雇用される管理監督者を含む全ての労働者について、通常の所定労働時間は1日8時間、1週40時間を上限とする。,法は通常の労働時間の上限を定めているが、管理監督者等一部の者は労働基準法上の適用除外が問題となる場合がある。本規則はその適用範囲を拡大して当社の全労働者に同じ上限を適用するものであり、法の趣旨を拡張する（範囲を広げる）ため、Subalternに該当する。,0.00106075
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Weak Entailment,従業員の労働時間は労働基準法その他関係法令に従い定められ、法定の上限を超えてはならない。,本規則は、法文が定める「1日8時間、1週40時間を超えてはならない」という具体的上限を直接引用せずに、労働基準法等の法定上限に従うことを一般的に定めているため、法律のより一般的・包括的な表現となり、弱含意（Weak Entailment）に該当する。,0.00089325
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Neutral – Insufficient,従業員は適切な労働時間管理と健康維持に協力しなければならない。,この就業規則は労働時間管理や健康維持への協力を求めており、法が定める1日8時間・週40時間等の具体的上限に関連すると想定される。しかし具体的な上限値、変形労働の取り扱いや使用者の義務（手続き・管理方法等）についての記載がなく、法文との論理的関係を確定するには情報が不足しているため「Neutral – Insufficient」に該当する。,0.00078325
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Exemplification,従業員は国民の祝日に関する法律に定める建国記念の日（2月11日）を休業とし、その日について通常の所定労働日に対する賃金を支給する。,第112条1項(1)は国民の祝日を休業日とすることを定めている。本規則はその一般規定の具体例として、建国記念の日（2月11日）を個別に休業日とし賃金を支給する旨を明示しており、「Exemplification（例示）」の関係にあたる。,0.00099375
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Weak Entailment,当社は、休日に関しては労働基準法及び国民の祝日に関する法律等の法令に従い、国民の祝日および年末年始を含む所定の休日を定め、当該休日に対しては所定の賃金を支払うものとする。,この就業規則は、法（第112条）が定める具体的な祝日や年末年始の取り扱いを個別に列挙せず、法令に従って祝日や年末年始を休日として扱い賃金を支払う旨を一般的に規定している。内容は法と矛盾せず、より一般化された表現のため「Weak Entailment（弱含意）」に該当する。,0.0009582499999999999
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Strong Entailment,従業員は、国民の祝日に関する法律に定める国民の祝日および年末年始（12月29日から翌年1月3日まで）には休業とし、通常の所定労働日に対する賃金を支給する。春分日・秋分日の具体的日付および振替休日・国民の休日の取扱いは国の定めおよび内閣府の休日カレンダーに従う。これらの休日が当社の所定の週休日と重なる場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により既に振替休日が定められている場合はその日を振替休日とする。,この就業規則は、法律第112条の各項目を言い換えたものであり、国民の祝日と年末年始の休業と賃金支給、春分・秋分日等の取扱いを国のカレンダーに準拠すること、及び週休日と重なった場合の振替休日の取り扱い（法令により既に振替休日がある場合の例外）をそのまま規定しているため、「強い含意（Strong Entailment）」に該当します。,0.0010782499999999998
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Neutral – Irrelevant,従業員は作業場に入る際、会社指定の安全靴を常時着用しなければならない。,この就業規則は作業場での安全靴着用義務について定めたものであり、祝日や年末年始の休日に関する第112条の規定（休日の付与や振替休日の取扱い）とは主題・法律的効果ともに無関係であるため、「Neutral – Irrelevant」に該当する。,0.0006905
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Contrary,国民の祝日および年末年始（12月29日〜翌年1月3日）に関して、これらの休日が会社の所定の週休日と重複した場合でも、会社は振替休日を付与しないものとする。,法第112条第3項は、祝日が所定の週休日と重なった場合に直後の営業日を振替休日とすることを定めているのに対し、本就業規則は重複した場合でも振替休日を付与しないとしており、適用条件について法と異なる（抵触・程度の相違）ため「Contrary」に該当する。完全な否定（例：祝日を全く休業にしない）ではないが、法の扱いと矛盾する点がある。,0.0012195
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Contradictory,従業員は、国民の祝日および年末年始（12月29日から翌年1月3日まで）に勤務する義務があり、当該日を休日として扱わない。,法第112条はこれらの日を休業日として賃金支給の対象とすることを定めているが、本就業規則は当該日を休日とせず勤務を義務付けており、法の規定と直接矛盾するため「Contradictory」に該当する。,0.0009642499999999999
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Subaltern,会社は、法第112条に定める国民の祝日および年末年始休暇に加え、毎年8月13日から8月15日までを夏季会社休業日と定め、正社員、契約社員、パートタイムおよび派遣労働者を含む全従業員に対して通常の所定労働日に対する賃金を支払って休業とする。,本規則は、法第112条が定める祝日・年末年始の休日に加えて会社独自の夏季休暇を全従業員に有給で付与するものとしており、法律の適用範囲を拡大している（すなわち法の規定を上乗せする）ため「Subaltern」に該当する。法律に反するものではなく、法の保護を拡張する内容である。,0.00113575
"第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",Neutral – Insufficient,従業員は会社が定める休日に休暇を取得するものとする。,この就業規則は休日取得について触れているため法律の第112条と関連はあるが、対象となる祝日や年末年始の日付、賃金の取扱い、振替休日の扱い等の具体的条件が含まれておらず、法条文との論理的対応を確認するには情報が不足しているため「Neutral – Insufficient」に該当する。,0.0006822499999999999
"第X条（休憩）
1 1日の所定労働時間が6時間を超え8時間以下の場合は45分、8時間を超える場合は60分の休憩時間を、労働時間の途中に与える。
2 休憩時間は、労働者に自由に利用させなければならない。業務運営上の必要がある場合は、一斉付与によらず、交替制その他適切な方法により付与することができる。
3 深夜業（午後10時から翌午前5時まで）を含む勤務についても前各項を適用する。健康確保の観点から、夜間にわたる勤務においては、業務の状況に応じて休憩時間の配分を工夫し、必要に応じて追加の小休止を設けるよう努める。
4 連続操業等により持ち場を離れることが困難な勤務においては、実際に業務から解放され自由に利用できる時間を休憩時間とする。拘束を伴う待機その他自由に利用できない時間は休憩時間とはみなさず、労働時間として取り扱う。",Weak Entailment,従業員には、所定労働時間に応じて労働基準法に定める休憩時間を与えるものとする。,この就業規則は、法が定める労働時間に応じた休憩（6時間超～8時間以下で45分、8時間超で60分等）を会社が確保する旨を一般的に示しており、法の具体的規定を包括的に支持するため、より一般化された表現で法と整合する（弱い含意）内容となっている。,0.00086325
"第X条（休憩）
1 1日の所定労働時間が6時間を超え8時間以下の場合は45分、8時間を超える場合は60分の休憩時間を、労働時間の途中に与える。
2 休憩時間は、労働者に自由に利用させなければならない。業務運営上の必要がある場合は、一斉付与によらず、交替制その他適切な方法により付与することができる。
3 深夜業（午後10時から翌午前5時まで）を含む勤務についても前各項を適用する。健康確保の観点から、夜間にわたる勤務においては、業務の状況に応じて休憩時間の配分を工夫し、必要に応じて追加の小休止を設けるよう努める。
4 連続操業等により持ち場を離れることが困難な勤務においては、実際に業務から解放され自由に利用できる時間を休憩時間とする。拘束を伴う待機その他自由に利用できない時間は休憩時間とはみなさず、労働時間として取り扱う。",Exemplification,所定労働時間が8時間の従業員には、正午の12時から12時45分までの45分間を休憩時間として勤務の途中に与えるものとする。,本規則は、法が定める「6時間を超え8時間以下の場合は45分の休憩」を具体的な時間帯（12:00–12:45）で示した例示的な就業規則です。法の要件に沿った具体例を提供しており、Exemplificationに該当します。,0.0008467500000000001
"第X条（休憩）
1 1日の所定労働時間が6時間を超え8時間以下の場合は45分、8時間を超える場合は60分の休憩時間を、労働時間の途中に与える。
2 休憩時間は、労働者に自由に利用させなければならない。業務運営上の必要がある場合は、一斉付与によらず、交替制その他適切な方法により付与することができる。
3 深夜業（午後10時から翌午前5時まで）を含む勤務についても前各項を適用する。健康確保の観点から、夜間にわたる勤務においては、業務の状況に応じて休憩時間の配分を工夫し、必要に応じて追加の小休止を設けるよう努める。
4 連続操業等により持ち場を離れることが困難な勤務においては、実際に業務から解放され自由に利用できる時間を休憩時間とする。拘束を伴う待機その他自由に利用できない時間は休憩時間とはみなさず、労働時間として取り扱う。",Contradictory,従業員の1日の所定労働時間が6時間を超え8時間以下の場合の休憩時間は30分、8時間を超える場合の休憩時間は30分とする。,法は6時間超〜8時間以下で45分、8時間超で60分の休憩を定めているが、本就業規則はいずれの場合も休憩を30分とし、法が定める休憩時間の要件を否定しているため、法と直接矛盾する（Contradictory）。,0.00098525
