STT,Tên,Nội dung rút gọn,Nội dung đầy đủ
11,Hợp đồng lao động bằng văn bản,"Hợp đồng lao động phải được lập thành văn bản (trừ một số công việc tạm thời dưới 1 tháng).
Nội dung hợp đồng phải có: công việc, thời hạn, mức lương, điều kiện làm việc, quyền và nghĩa vụ của hai bên.
","Điều 14. Hình thức hợp đồng lao động

1.Hợp đồng lao động phải được giao kết bằng văn bản và được làm thành 02 bản, người lao động giữ 01 bản, người sử dụng lao động giữ 01 bản, trừ trường hợp quy định tại khoản 2 điều này.

2.Hai bên có thể giao kết hợp đồng lao động bằng lời nói đối với hợp đồng có thời hạn dưới 01 tháng,
trừ các trường hợp sau đây phải bằng văn bản:

a) Giao kết hợp đồng lao động với nhóm người lao động thông qua người được ủy quyền hợp pháp;

b) Giao kết hợp đồng lao động với người chưa đủ 15 tuổi;

c) Giao kết hợp đồng lao động với người lao động là người giúp việc gia đình.

3.Hợp đồng lao động điện tử dưới hình thức thông điệp dữ liệu theo quy định của pháp luật về giao dịch điện tử có giá trị như hợp đồng bằng văn bản.

 Điều 21. Nội dung hợp đồng lao động

1.Hợp đồng lao động phải có những nội dung chủ yếu sau đây:

a) Tên, địa chỉ của người sử dụng lao động và họ tên, chức danh của người giao kết hợp đồng lao động bên phía người sử dụng lao động;

b) Họ tên, ngày tháng năm sinh, giới tính, nơi cư trú, số thẻ căn cước công dân hoặc chứng minh nhân dân hoặc hộ chiếu của người lao động;

c) Công việc và địa điểm làm việc;

d) Thời hạn của hợp đồng lao động;

đ) Mức lương theo công việc hoặc chức danh, hình thức trả lương, thời hạn trả lương, phụ cấp lương và các khoản bổ sung khác;

e) Chế độ nâng bậc, nâng lương;

g) Thời giờ làm việc, thời giờ nghỉ ngơi;

h) Trang bị bảo hộ lao động cho người lao động;

i) Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp;

k) Đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề.

2.Khi hai bên thỏa thuận nội dung hợp đồng lao động, không được quy định quyền lợi của người lao động thấp hơn quy định của pháp luật về lao động, thỏa ước lao động tập thể (nếu có).

3.Đối với người lao động làm việc trong lĩnh vực nông nghiệp, lâm nghiệp, ngư nghiệp, diêm nghiệp, hai bên có thể giảm bớt một số nội dung của hợp đồng lao động và thỏa thuận bổ sung bằng hình thức khác phù hợp với đặc thù của ngành nghề."
12,Bảo hiểm xã hội bắt buộc,"Người sử dụng lao động và người lao động phải tham gia bảo hiểm xã hội bắt buộc theo quy định.
Tiền đóng BHXH được trích theo tỷ lệ phần trăm trên tiền lương tháng.","Điều 2. Đối tượng tham gia bảo hiểm xã hội bắt buộc

1.Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc, bao gồm:

a) Người làm việc theo hợp đồng lao động không xác định thời hạn, hợp đồng xác định thời hạn, hợp đồng theo mùa vụ hoặc theo một công việc nhất định có thời hạn từ đủ 01 tháng trở lên;

b) Cán bộ, công chức, viên chức;

c) Công nhân quốc phòng, công nhân công an, người làm công tác khác trong tổ chức cơ yếu;

d) Sĩ quan, quân nhân chuyên nghiệp, hạ sĩ quan, chiến sĩ quân đội nhân dân; sĩ quan, hạ sĩ quan nghiệp vụ, chuyên môn kỹ thuật công an nhân dân; người làm công tác cơ yếu hưởng lương như đối với quân nhân;

đ) Người quản lý doanh nghiệp, người quản lý điều hành hợp tác xã có hưởng tiền lương;

e) Người hoạt động không chuyên trách ở xã, phường, thị trấn.

2.Người sử dụng lao động tham gia bảo hiểm xã hội bắt buộc gồm:

a) Cơ quan nhà nước, đơn vị sự nghiệp, đơn vị vũ trang nhân dân;
b) Tổ chức chính trị, tổ chức chính trị – xã hội, tổ chức xã hội, tổ chức xã hội – nghề nghiệp;
c) Cơ quan, tổ chức nước ngoài, tổ chức quốc tế hoạt động trên lãnh thổ Việt Nam;
d) Doanh nghiệp, hợp tác xã, hộ kinh doanh, tổ hợp tác, tổ chức khác và cá nhân có thuê mướn, sử dụng lao động theo hợp đồng lao động.

 Điều 85. Mức đóng và phương thức đóng của người lao động tham gia bảo hiểm xã hội bắt buộc

Người lao động quy định tại các điểm a, b, c, d và đ khoản 1 Điều 2 của Luật này hằng tháng đóng 8% mức tiền lương tháng vào quỹ hưu trí và tử tuất.

 Điều 86. Mức đóng và phương thức đóng của người sử dụng lao động tham gia bảo hiểm xã hội bắt buộc

Người sử dụng lao động hằng tháng đóng trên quỹ tiền lương tháng của những người lao động thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc, với tỷ lệ như sau:

a) 14% vào quỹ hưu trí và tử tuất;
b) 3% vào quỹ ốm đau và thai sản;
c) 0,5% vào quỹ tai nạn lao động, bệnh nghề nghiệp;
→ Tổng cộng: 17,5% mức tiền lương tháng của người lao động."
13,Bảo hiểm y tế bắt buộc,"Người sử dụng lao động có trách nhiệm tham gia bảo hiểm y tế bắt buộc cho người lao động.
Người lao động được hưởng quyền lợi khám chữa bệnh theo quy định của pháp luật.","Điều 12. Đối tượng tham gia bảo hiểm y tế

1.Nhóm do người lao động và người sử dụng lao động đóng, bao gồm:

a) Người lao động làm việc theo hợp đồng lao động không xác định thời hạn, hợp đồng lao động xác định thời hạn, hợp đồng lao động theo mùa vụ hoặc theo một công việc nhất định có thời hạn từ đủ 03 tháng trở lên;

b) Cán bộ, công chức, viên chức;

c) Người hoạt động không chuyên trách ở xã, phường, thị trấn;

d) Các đối tượng khác theo quy định của pháp luật.

Như vậy: Người lao động làm việc theo hợp đồng lao động (từ 03 tháng trở lên) phải tham gia bảo hiểm y tế bắt buộc, và người sử dụng lao động có trách nhiệm tham gia, đóng cùng.

Điều 13. Mức đóng và trách nhiệm đóng bảo hiểm y tế

1.Mức đóng bảo hiểm y tế hằng tháng bằng 4,5% mức tiền lương tháng của người lao động.

2.Trách nhiệm đóng bảo hiểm y tế:

a) Người sử dụng lao động đóng 3% mức tiền lương tháng của người lao động;

b) Người lao động đóng 1,5% mức tiền lương tháng của mình.

Tổng cộng: 4,5% lương tháng (trong đó doanh nghiệp chịu 3%, người lao động chịu 1,5%).

 Điều 21. Quyền lợi của người tham gia bảo hiểm y tế

1.Người tham gia bảo hiểm y tế được quỹ bảo hiểm y tế chi trả các chi phí khám bệnh, chữa bệnh, phục hồi chức năng, khám thai định kỳ, sinh con... theo phạm vi quyền lợi và mức hưởng do pháp luật quy định, bao gồm:

Chi phí khám bệnh, chữa bệnh, phục hồi chức năng, khám thai, sinh con theo quy định của Bộ Y tế.

2.Thanh toán chi phí vận chuyển người bệnh trong một số trường hợp cấp cứu hoặc điều trị nội trú chuyển tuyến.

3.Mức hưởng:

Người tham gia BHYT đúng tuyến: được thanh toán 80%–100% chi phí khám chữa bệnh, tùy đối tượng.

Trường hợp trái tuyến, vượt tuyến, vẫn được thanh toán theo tỷ lệ quy định (từ 40%–100% tùy cấp bệnh viện và thời điểm)."
14,"An toàn, vệ sinh lao động","Người sử dụng lao động phải bảo đảm an toàn, vệ sinh lao động, cung cấp đầy đủ trang bị bảo hộ, huấn luyện an toàn và phòng ngừa tai nạn lao động.","I. Theo Bộ luật Lao động năm 2019
 Điều 138. Trách nhiệm bảo đảm an toàn, vệ sinh lao động của người sử dụng lao động

1.Người sử dụng lao động có trách nhiệm:

a) Bảo đảm nơi làm việc đáp ứng các yêu cầu về không gian, thông gió, chiếu sáng, tiếng ồn, độ rung, bụi, hơi, khí độc, phóng xạ và các yếu tố có hại khác theo quy chuẩn kỹ thuật về an toàn, vệ sinh lao động;

b) Bảo đảm có đủ phương tiện bảo vệ cá nhân, phương tiện sơ cấp cứu tại nơi làm việc, bảo đảm người lao động được hướng dẫn, huấn luyện an toàn, vệ sinh lao động trước khi làm việc;

c) Thực hiện các biện pháp kỹ thuật, quản lý, trang bị bảo hộ lao động để phòng ngừa tai nạn lao động, bệnh nghề nghiệp;

d) Kiểm tra, giám sát việc chấp hành quy định, nội quy, quy trình an toàn, vệ sinh lao động tại nơi làm việc;

đ) Thực hiện đầy đủ chế độ bồi thường, trợ cấp đối với người lao động bị tai nạn lao động, bệnh nghề nghiệp theo quy định của pháp luật.

2.Người sử dụng lao động phải tổ chức huấn luyện an toàn, vệ sinh lao động cho người lao động, người làm công tác an toàn, vệ sinh lao động và người phụ trách sản xuất theo quy định của pháp luật.

3.Người sử dụng lao động phải định kỳ kiểm tra, đánh giá nguy cơ rủi ro về an toàn, vệ sinh lao động tại nơi làm việc và thực hiện các biện pháp khắc phục.

 II. Theo Luật An toàn, vệ sinh lao động năm 2015
 Điều 7. Nghĩa vụ của người sử dụng lao động đối với công tác an toàn, vệ sinh lao động

Người sử dụng lao động có các nghĩa vụ sau đây:

1.Xây dựng, tổ chức thực hiện và thường xuyên kiểm tra, giám sát việc thực hiện kế hoạch an toàn, vệ sinh lao động tại cơ sở;

2.Đánh giá, kiểm soát các yếu tố nguy hiểm, yếu tố có hại tại nơi làm việc để phòng ngừa tai nạn lao động, bệnh nghề nghiệp;

3.Bảo đảm nơi làm việc đạt yêu cầu về an toàn, vệ sinh lao động, có biện pháp kỹ thuật, quản lý, y tế nhằm đảm bảo điều kiện làm việc an toàn cho người lao động;

4.Trang bị đầy đủ phương tiện bảo vệ cá nhân, huấn luyện người lao động sử dụng đúng cách và kiểm tra việc tuân thủ;

5.Tổ chức huấn luyện an toàn, vệ sinh lao động trước khi người lao động làm việc hoặc khi chuyển đổi công việc có yếu tố nguy hiểm, có hại;

6.Khai báo, điều tra, thống kê và báo cáo tai nạn lao động, bệnh nghề nghiệp theo quy định;

7.Thực hiện bồi thường, trợ cấp cho người bị tai nạn lao động, bệnh nghề nghiệp;

8.Chấp hành sự thanh tra, kiểm tra, hướng dẫn của cơ quan nhà nước về an toàn, vệ sinh lao động."
15,Lao động nữ mang thai và nuôi con nhỏ,"Không được sa thải, đơn phương chấm dứt hợp đồng hoặc xử lý kỷ luật người lao động nữ vì lý do mang thai, nghỉ thai sản hoặc nuôi con dưới 12 tháng tuổi.","Điều 137. Bảo vệ thai sản đối với lao động nữ

1.Người sử dụng lao động không được sa thải hoặc đơn phương chấm dứt hợp đồng lao động đối với người lao động vì lý do kết hôn, mang thai, nghỉ thai sản, nuôi con dưới 12 tháng tuổi, trừ trường hợp người sử dụng lao động là cá nhân chết, bị tuyên bố mất năng lực hành vi dân sự, mất tích hoặc đã chết, hoặc người sử dụng lao động không phải là cá nhân chấm dứt hoạt động.

2.Trong thời gian mang thai, nghỉ thai sản, nuôi con dưới 12 tháng tuổi, người lao động nữ được bảo đảm việc làm cũ khi trở lại làm việc;
trường hợp việc làm cũ không còn, người sử dụng lao động phải bố trí công việc khác với mức lương không thấp hơn mức lương trước khi nghỉ thai sản.

3.Người sử dụng lao động không được sử dụng lao động nữ làm việc ban đêm, làm thêm giờ hoặc đi công tác xa trong các trường hợp:

Đang mang thai từ tháng thứ 7 (hoặc tháng thứ 6 nếu làm việc ở vùng cao, vùng sâu, vùng xa, biên giới, hải đảo);

Đang nuôi con dưới 12 tháng tuổi,
trừ khi người lao động đồng ý.

Điều 122. Nguyên tắc, trình tự xử lý kỷ luật lao động

Khoản 4 của điều này quy định:

Không được xử lý kỷ luật lao động đối với người lao động đang trong các thời gian sau đây:

c) Lao động nữ mang thai, nghỉ thai sản;
d) Người lao động đang nuôi con nhỏ dưới 12 tháng tuổi."
16,Lao động chưa thành niên,"Người dưới 18 tuổi chỉ được làm công việc nhẹ, an toàn phù hợp với sức khỏe.
Thời gian làm việc không quá 8 giờ/ngày và 40 giờ/tuần, không làm thêm giờ và không làm ca đêm.","Điều 143. Lao động chưa thành niên

1.Lao động chưa thành niên là người lao động dưới 18 tuổi.

2.Khi sử dụng lao động chưa thành niên, người sử dụng lao động phải có sự đồng ý của cha, mẹ hoặc người giám hộ hợp pháp của người đó.

3.Không được sử dụng lao động chưa thành niên làm các công việc nặng nhọc, độc hại, nguy hiểm hoặc công việc, nơi làm việc có ảnh hưởng xấu tới nhân cách của họ theo danh mục do Bộ Lao động – Thương binh và Xã hội ban hành.

Điều 144. Nguyên tắc sử dụng lao động chưa thành niên

1.Người sử dụng lao động chỉ được sử dụng lao động chưa thành niên vào những công việc nhẹ, phù hợp với sức khỏe để đảm bảo phát triển thể lực, trí tuệ và nhân cách.

2.Phải bảo đảm điều kiện lao động, an toàn, vệ sinh lao động, và tổ chức khám sức khỏe định kỳ cho người lao động chưa thành niên.

3.Phải quan tâm, chăm sóc và tạo điều kiện học tập, đào tạo nghề cho người lao động chưa thành niên.

Điều 145. Sử dụng người từ đủ 15 tuổi đến chưa đủ 18 tuổi làm việc

1.Không được sử dụng người từ đủ 15 tuổi đến chưa đủ 18 tuổi làm công việc:

Nặng nhọc, độc hại, nguy hiểm;

Ảnh hưởng xấu đến nhân cách;

Làm việc ban đêm, làm thêm giờ.

2.Thời giờ làm việc không được quá 8 giờ trong 01 ngày và 40 giờ trong 01 tuần.

3.Người sử dụng lao động phải lập sổ theo dõi riêng đối với người lao động chưa thành niên, ghi rõ:

Họ tên, ngày tháng năm sinh, công việc, kết quả khám sức khỏe định kỳ, và

Có sự xác nhận của cha mẹ hoặc người giám hộ.

Điều 146. Sử dụng người chưa đủ 15 tuổi làm việc

1.Chỉ được sử dụng người chưa đủ 15 tuổi làm công việc nhẹ theo danh mục do Bộ trưởng Bộ LĐ–TB&XH ban hành.

2.Khi giao kết hợp đồng lao động với người chưa đủ 15 tuổi, phải có:

Sự đồng ý bằng văn bản của cha, mẹ hoặc người giám hộ;

Người đại diện ký hợp đồng lao động cùng với người lao động chưa đủ 15 tuổi.

3.Thời giờ làm việc không được quá 4 giờ/ngày và 20 giờ/tuần.

Không được làm thêm giờ, không được làm việc vào ban đêm.

Điều 147. Sử dụng người dưới 13 tuổi làm việc

Chỉ được sử dụng người dưới 13 tuổi trong một số lĩnh vực nghệ thuật, thể dục, thể thao,
với điều kiện:

Có sự đồng ý của cơ quan chuyên môn về lao động cấp tỉnh,

Và bảo đảm không ảnh hưởng đến sự phát triển thể chất, tinh thần, học tập của trẻ."
17,Kỷ luật lao động,"Hình thức xử lý kỷ luật bao gồm: khiển trách, kéo dài thời hạn nâng lương, cách chức, hoặc sa thải.
Cấm phạt tiền, cắt lương thay cho kỷ luật lao động.
","Điều 124. Hình thức xử lý kỷ luật lao động

1.Hình thức xử lý kỷ luật lao động bao gồm:

a) Khiển trách;

b) Kéo dài thời hạn nâng lương không quá 06 tháng; cách chức;

c) Sa thải.

2.Không được áp dụng nhiều hình thức xử lý kỷ luật lao động đối với một hành vi vi phạm kỷ luật lao động.

3.Khi một người lao động có nhiều hành vi vi phạm kỷ luật lao động, thì chỉ áp dụng hình thức kỷ luật cao nhất tương ứng với hành vi vi phạm nặng nhất.

Điều 127. Những quy định cấm khi xử lý kỷ luật lao động

Cấm xâm phạm thân thể, nhân phẩm của người lao động.

Cấm dùng hình thức phạt tiền, cắt lương thay việc xử lý kỷ luật lao động.

Cấm xử lý kỷ luật lao động đối với người lao động trong các trường hợp sau đây:

a) Người lao động đang nghỉ ốm đau, điều dưỡng; nghỉ việc được sự đồng ý của người sử dụng lao động;

b) Lao động nữ mang thai, nghỉ thai sản; người lao động nuôi con dưới 12 tháng tuổi;

c) Người lao động bị tạm giữ, tạm giam."
18,Sa thải người lao động,"Người sử dụng lao động chỉ được sa thải nếu người lao động có hành vi trộm cắp, tham ô, tiết lộ bí mật kinh doanh, gây thiệt hại nghiêm trọng, hoặc tái phạm khi đang bị kỷ luật.","Điều 125. Áp dụng hình thức xử lý kỷ luật sa thải

Người sử dụng lao động được quyền áp dụng hình thức xử lý kỷ luật sa thải trong các trường hợp sau đây:

1.Người lao động có hành vi trộm cắp, tham ô, đánh bạc, cố ý gây thương tích, sử dụng ma túy tại nơi làm việc;
tiết lộ bí mật kinh doanh, bí mật công nghệ, xâm phạm quyền sở hữu trí tuệ của người sử dụng lao động;
có hành vi gây thiệt hại nghiêm trọng hoặc đe dọa gây thiệt hại đặc biệt nghiêm trọng về tài sản, lợi ích của người sử dụng lao động;

2.Người lao động bị xử lý kỷ luật kéo dài thời hạn nâng lương hoặc cách chức mà tái phạm trong thời gian chưa xóa kỷ luật,
hoặc bị xử lý kỷ luật khiển trách mà tái phạm trong thời gian chưa xóa kỷ luật,
trong đó “tái phạm” là việc người lao động lặp lại hành vi vi phạm đã bị xử lý kỷ luật mà chưa được xóa kỷ luật;

3.Người lao động tự ý bỏ việc 05 ngày làm việc liên tục trở lên mà không có lý do chính đáng.

Lý do chính đáng bao gồm: thiên tai, hỏa hoạn, bản thân hoặc thân nhân ốm đau có xác nhận của cơ sở y tế có thẩm quyền, và các trường hợp khác được quy định trong nội quy lao động."
19,Nghĩa vụ bảo mật thông tin,"Người lao động có trách nhiệm giữ bí mật thông tin về kinh doanh, công nghệ của doanh nghiệp nếu có cam kết bằng văn bản.
Vi phạm cam kết bảo mật có thể bị xử lý kỷ luật hoặc bồi thường thiệt hại.","Điều 21. Nội dung hợp đồng lao động

1.Hợp đồng lao động phải có các nội dung chủ yếu sau đây:
a) Tên, địa chỉ của người sử dụng lao động và họ tên, thông tin của người lao động;
b) Công việc và địa điểm làm việc;
c) Thời hạn hợp đồng;
d) Mức lương, hình thức trả lương, thời hạn trả lương, phụ cấp, thưởng…;
e) Chế độ nâng lương, thời giờ làm việc, nghỉ ngơi;
f) Trang bị bảo hộ lao động;
g) Bảo mật thông tin, bảo vệ tài sản và bí mật kinh doanh, bí mật công nghệ của người sử dụng lao động (nếu có);
h) Các nội dung khác liên quan đến quyền và nghĩa vụ của hai bên.

2.Khi người lao động làm việc có liên quan trực tiếp đến bí mật kinh doanh, bí mật công nghệ, thì người sử dụng lao động có quyền thỏa thuận bằng văn bản với người lao động về:

Nội dung, phạm vi bảo mật,

Thời hạn bảo mật,

Quyền và nghĩa vụ của hai bên,

Mức bồi thường trong trường hợp vi phạm cam kết bảo mật.

Như vậy, chỉ khi có thỏa thuận hoặc cam kết bảo mật bằng văn bản, người lao động mới bị ràng buộc trách nhiệm bảo mật và nghĩa vụ bồi thường khi vi phạm.

Điều 125. Áp dụng hình thức xử lý kỷ luật sa thải

Khoản 1, điểm a quy định:

Người sử dụng lao động được áp dụng hình thức xử lý kỷ luật sa thải trong các trường hợp:

“Người lao động có hành vi trộm cắp, tham ô, đánh bạc, cố ý gây thương tích, sử dụng ma túy tại nơi làm việc; tiết lộ bí mật kinh doanh, bí mật công nghệ, xâm phạm quyền sở hữu trí tuệ của người sử dụng lao động...”

 Nghĩa là việc tiết lộ bí mật kinh doanh hoặc bí mật công nghệ được xem là vi phạm kỷ luật nghiêm trọng, có thể bị sa thải.

NGHỊ ĐỊNH 145/2020/NĐ-CP

Hướng dẫn chi tiết thi hành Bộ luật Lao động (Điều 21)

Điều 19. Bảo mật thông tin, bí mật kinh doanh, bí mật công nghệ

1.Bí mật kinh doanh là thông tin thu được từ hoạt động đầu tư tài chính, trí tuệ, lao động mà chưa được công bố, có khả năng mang lại lợi thế trong kinh doanh.

2.Bí mật công nghệ là giải pháp, quy trình, bí quyết, dữ liệu kỹ thuật... chưa được công bố, có khả năng tạo ra sản phẩm hoặc mang lại lợi thế trong sản xuất, kinh doanh.

3.Cam kết bảo mật giữa người lao động và người sử dụng lao động phải được lập thành văn bản, trong đó quy định rõ:

Thông tin, tài liệu được coi là bí mật;

Thời gian bảo mật;

Nghĩa vụ của người lao động trong và sau khi làm việc;

Trách nhiệm và mức bồi thường thiệt hại nếu vi phạm."
20,Bình đẳng giới trong lao động,"Nam và nữ được đối xử bình đẳng về cơ hội, tiền lương, điều kiện làm việc.
Cấm mọi hành vi phân biệt đối xử, quấy rối tình dục, hoặc từ chối tuyển dụng do giới tính.
","Điều 8. Các hành vi bị nghiêm cấm

Người sử dụng lao động không được thực hiện các hành vi sau đây:

1.Phân biệt đối xử, quấy rối tình dục tại nơi làm việc, cưỡng bức lao động;

2.Lợi dụng việc tuyển dụng, đào tạo, sử dụng lao động để phân biệt giới tính, dân tộc, tín ngưỡng, thành phần xã hội, tình trạng hôn nhân, mang thai, hoặc vì lý do giới tính.

Điều 12. Bình đẳng giới

1.Người lao động nam và nữ được đối xử bình đẳng về cơ hội việc làm, tiền lương, thăng tiến, đào tạo, điều kiện lao động, an toàn, vệ sinh lao động.

2.Nhà nước bảo đảm và khuyến khích người sử dụng lao động thực hiện bình đẳng giới tại nơi làm việc,
đồng thời có chính sách hỗ trợ, khuyến khích người sử dụng lao động tạo việc làm cho lao động nữ.

3.Cấm mọi hành vi phân biệt đối xử vì giới tính trong tuyển dụng, sử dụng, đào tạo, trả lương, đánh giá, hoặc chấm dứt hợp đồng.

Điều 137. Bảo vệ thai sản đối với lao động nữ (trích liên quan)

Khoản 1 quy định:

“Người sử dụng lao động không được sa thải hoặc đơn phương chấm dứt hợp đồng lao động đối với người lao động vì lý do kết hôn, mang thai, nghỉ thai sản hoặc nuôi con dưới 12 tháng tuổi.”

Điều này thể hiện rõ sự bảo vệ quyền bình đẳng và không phân biệt đối xử về giới tính.

LUẬT BÌNH ĐẲNG GIỚI NĂM 2006
Điều 6. Các hành vi bị nghiêm cấm

1.Phân biệt đối xử về giới tính dưới mọi hình thức;

2.Quấy rối tình dục, bạo lực trên cơ sở giới;

3.Từ chối tuyển dụng hoặc hạn chế cơ hội nghề nghiệp vì giới tính, tình trạng hôn nhân, hoặc mang thai.

Điều 13. Bình đẳng giới trong lĩnh vực lao động

1.Nam, nữ bình đẳng về tiêu chuẩn, độ tuổi tuyển dụng, sử dụng, đào tạo, đề bạt, tiền lương, tiền thưởng và điều kiện lao động.

2.Nhà nước có chính sách bảo đảm quyền lợi về lao động, tiền lương, an toàn, sức khỏe sinh sản cho lao động nữ.

NGHỊ ĐỊNH 145/2020/NĐ-CP

Hướng dẫn chi tiết Bộ luật Lao động về bình đẳng giới và quấy rối tình dục.

Điều 84. Ngăn ngừa và xử lý quấy rối tình dục tại nơi làm việc

1.Người sử dụng lao động phải ban hành nội quy lao động hoặc quy tắc ứng xử về phòng, chống quấy rối tình dục tại nơi làm việc, trong đó nêu rõ:

Hành vi bị coi là quấy rối tình dục;

Quy trình xử lý khiếu nại, tố cáo;

Biện pháp bảo vệ người bị hại.

2.Người lao động có quyền:

Tố cáo, khiếu nại hành vi quấy rối tình dục;

Được bảo vệ danh dự, nhân phẩm và không bị trả thù, phân biệt đối xử.

3.Người sử dụng lao động hoặc người lao động có hành vi quấy rối tình dục có thể bị:

Xử lý kỷ luật lao động (tới mức sa thải),

Xử phạt hành chính, hoặc truy cứu trách nhiệm hình sự tùy mức độ."
